🕘️更新时间,#genre#
2026-07-10 20:56:41,http://183.47.2.156:16883/udp/239.77.1.144:5146

📺央视频道,#genre#
CCTV-1 综合,http://183.47.2.156:16883/udp/239.77.1.144:5146
CCTV-2 财经,http://59.35.185.47:8188/udp/239.77.1.158:5146
CCTV-2 财经,http://183.47.2.156:16883/udp/239.77.1.158:5146
CCTV-4 中文国际,http://183.236.43.98:4013/udp/239.77.1.163:5146
CCTV-6 电影,http://59.35.185.47:8188/udp/239.77.0.171:5146
CCTV-6 电影,http://183.47.2.156:16883/udp/239.77.0.171:5146
CCTV-8 电视,http://183.47.2.156:16883/udp/239.77.0.172:5146
CCTV-8 电视,http://183.236.43.98:4013/udp/239.77.0.172:5146
CCTV-9 纪录,http://183.47.2.156:16883/udp/239.77.0.135:5146
CCTV-10 科教,http://183.236.43.98:4013/udp/239.77.0.134:5146
CCTV-10 科教,http://183.47.2.156:16883/udp/239.77.0.134:5146
CCTV-13 新闻,http://183.47.2.156:16883/udp/239.253.43.196:5146
CCTV-4K,http://183.47.2.156:16883/udp/239.77.0.194:5146
CCTV-8K,http://107.150.52.50:82/live/cctv8k.m3u8
CCTV-8K,http://192.151.150.154/live/cctv8k.m3u8
CCTV-8K,http://107.150.60.122/live/cctv8k.m3u8
CCTV-8K,http://38.75.136.137:98/gslb/dsdqpub/cctv8k.m3u8?auth=testpub
CCTV-8K,http://82.156.243.185:36888/av3a/cctv8kn.m3u8
CCTV-8K,http://3501776.xyz:35455/gaoma/cctv8k_36m.m3u8
CCTV-8K,http://ott.mobaibox.com/PLTV/-/224/3221228165/index.m3u8
CCTV-8K,http://ott.mobaibox.com/PLTV/3/224/3221228165/index.m3u8
CCTV-8K,http://[2409:8087:2001:20:2800:0:df6e:eb02]:80/wh7f454c46tw2749731958_105918260/ott.mobaibox.com/PLTV/3/224/3221228165/index.m3u8?icpid=3&RTS=1681529690&from=40&popid=40&hms_devid=2039&prioritypopid=40&vqe=3

🌊港澳台,#genre#
翡翠台,http://everydaytv.top/live/ggiptv/jade/playlist.m3u8
翡翠台,http://119.32.12.73:2905/rtp/225.1.101.45:7523
翡翠台,http://r.jdshipin.com/62WM7
翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
翡翠台,http://r.jdshipin.com/qClQf
翡翠台,http://r.jdshipin.com/qrfbg
翡翠台,http://r.jdshipin.com/n90gt
翡翠台,http://r.jdshipin.com/GeWKr
翡翠台,https://cdn6.cc.cd/163189/fct
无线新闻台,http://www.kaniptv.cn/ua3.php?ua=TW96aWxsYS81LjAgKFdpbmRvd3MgTlQgNi4xOyBXaW42NDsgeDY0KSBBcHBsZVdlYktpdC81MzcuMzYgKEtIVE1MLCBsaWtlIEdlY2tvKSBDaHJvbWUvMTA2LjAuMC4wIFNhZmFyaS81MzcuMzY=&mode=1&hls=aHR0cDovLzQ5LjIzMi4xNDMuMTc3OjgwL3B5eGcvZXhwb3J0LnBocD9pZD02JmtleT0lMkElMkElMkElMkE=
无线新闻台,http://php.jdshipin.com:8880/smt.php?id=inews_twn
无线新闻台,http://r.jdshipin.com/CkuBd
无线新闻台,http://cdn9.163189.xyz/smt1.1.php?id=inews_twn
无线新闻台,http://php.jdshipin.com/TVOD/iptv.php?id=wxxw
无线新闻台,https://hls-gateway.vpstv.net/streams/476926.m3u8
无线新闻台,https://cdn6.cc.cd/163189/wxxw
无线新闻台,https://cdn6.cc.cd/163189/wxxwt
无线新闻台,https://cdn6.163189.xyz/163189/wxxw
无线新闻,http://php.jdshipin.com:8880/smt.php?id=inews_twn
无线新闻,http://r.jdshipin.com/CkuBd
无线新闻,http://cdn9.163189.xyz/smt1.1.php?id=inews_twn
无线新闻,http://php.jdshipin.com/TVOD/iptv.php?id=wxxw
无线新闻,https://hls-gateway.vpstv.net/streams/476926.m3u8
无线新闻,https://cdn6.cc.cd/163189/wxxw
无线新闻,https://cdn6.cc.cd/163189/wxxwt
无线新闻,https://cdn6.163189.xyz/163189/wxxw
无线新闻,https://iptv.707626.xyz/ch/6be62e159f4a470cce4593fc6a780cd5/master.m3u8
明珠台,http://119.32.12.73:2905/rtp/225.1.101.139:7523
明珠台,http://zwg6818.vicp.net:28000/bysid/2.mpeg
